,medalist_name,male_archery,female_archery,male_athletics,female_athletics,male_badminton,female_badminton,male_baseball,male_basketball,female_basketball,male_boxing,male_canoeing and kayaking,female_canoeing and kayaking,male_road bicycle racing,female_road bicycle racing,male_track cycling,female_track cycling,male_mountain biking,female_mountain biking,male_bmx,female_bmx,male_diving,female_diving,female_equestrian sport,male_equestrian sport,male_fencing,female_fencing,male_field hockey,female_field hockey,male_association football,female_association football,male_artistic gymnastics,female_artistic gymnastics,female_rhythmic gymnastics,male_trampoline gymnastics,female_trampoline gymnastics,male_handball,female_handball,male_judo,female_judo,male_modern pentathlon,female_modern pentathlon,male_rowing,female_rowing,male_sailing,female_sailing,male_shooting sport,female_shooting sport,female_softball,male_swimming,female_swimming,female_synchronized swimming,male_table tennis,female_table tennis,male_taekwondo,female_taekwondo,male_tennis,female_tennis,male_triathlon,female_triathlon,male_beach volleyball,female_beach volleyball,male_volleyball,female_volleyball,male_water polo,female_water polo,male_weightlifting,female_weightlifting,male_freestyle wrestling,female_freestyle wrestling,male_greco-roman wrestling
0,Aaron Armstrong,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aaron Peirsol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,
2,Abdullo Tangriev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Abeer Abdelrahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,
4,Abhinav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,
5,Acer Nethercott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Adam Korol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Adam Kreek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Adam Pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,
9,Adam Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze
10,Adam Wiercioch,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Adam Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,
12,Adam van Koeverden,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Adiel Palma,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Agnes Osazuwa,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Agnieszka Wieszczek-Kordus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,
16,Aida Shanayeva,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ainārs Kovals,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Alain Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,
19,Alastair Heathcote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Alba Cabello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,
21,Albert Rocas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Albert Sala,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Alberto Entrerríos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Aldo Montano,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Alejandra Gulla,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Aleksandar Ćirić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,
27,Aleksandar Šapić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,
28,Aleksandr Korneev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,
29,Aleksandr Kosarev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,
30,Aleksandr Kostoglod,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Aleksandr Volkov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,
32,Aleksei Alipov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,
33,Aleksei Tishchenko,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Aleksey Kuleshov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,
35,Aleksey Ostapenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,
36,Aleksey Verbov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,
37,Alena Kartashova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,
38,Alessandra Sensini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,
39,Alessia Filippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,
40,Alette Sijbring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,
41,Alex Fàbregas,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Alex Partridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Alex Rasmussen,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Alex Sandro da Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Alex Schwazer,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Alexander Artemev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Alexander Dale Oen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,
48,Alexander Grimm,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Alexander Malleta,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
